paket,dalamNegeri,jenisPengadaan,metode,lembaga,satker,lokasi,id,pagu,pemilihanDate,sumberDana,isUMKM,volumePekerjaan,uraianPekerjaan,spesifikasiPekerjaan,ownerType,potensiPemborosan,tags.isInappropriate,tags.inappropriateReason,jumlahTagAktif,_source_part
Belanja Modal Aset Tidak Berwujud-Software,True,Jasa Lainnya,E-Purchasing,Provinsi Sulawesi Selatan,"DINAS KOMUNIKASI DAN INFORMATIKA, STATISTIK DAN PERSANDIAN","Sulawesi Selatan, Makassar (Kota)",61893037,150000000.0,January 2026,APBD,True,1 paket,tenaga ahli;,;,provinsi,0.0,med,,1,1
Pengembangan dan Pemeliharaan Aplikasi Khusus (PLDDIG),True,Jasa Lainnya,E-Purchasing,Provinsi Jawa Barat,Dinas Komunikasi dan Informatika,"Jawa Barat, Bandung (Kota)",62713613,2597385000.0,January 2026,APBD,True,4 Paket,"Ruang Lingkup pekerjaan yang akan dilakukan, dapat disesuaikan dengan kebutuhan riil pengembangan dan pemeliharaan aplikasi, dengan ruang lingkup sebagai berikut : 1. Pemeliharaan adaptif; 2. Pemeliharaan korektif; 3. Pemeliharaan preventif; 4. Pengembangan perfektif tanpa penambahan fungsi/fitur; 5. Pengembangan perfektif dengan penambahan fungsi/fitur, khusus untuk aplikasi Sapawarga dan Hotline Jabar. Adapun rincian aktivitas pengembangan dan pemeliharaan yang dilakukan antara lain sebagai berikut : 1. Aktivitas Software Programming 2. Aktivitas Site Reliability Engineering 3. Aktivitas Software Project Management 4. Aktivitas System Analysis 5. Aktivitas Pendukung : • Perjalanan Dinas ke Luar Kota Jika Diperlukan (Transportasi dan Akomodasi Difasilitasi). • Survey Lapangan di Dalam Kota. • Penyusunan dan Pemeliharaan Buku Panduan dan Dokumen Teknis Aplikasi (Soft Copy). • Rapat Koordinasi dan Konsolidasi dengan Stakeholder (Ruangan dan Mamin Difasilitasi). • Pelatihan, Sosialisasi dan Diseminasi kepada Pengguna (Ruangan dan Mamin Difasilitasi). • Transfer Knowledge (Ruangan Difasilitasi). • Aktivitas Harian di Ruang Kerja (Ruang Kerja Difasilitasi).","1. Pengembangan dan Pemeliharaan aplikasi khusus layanan publik yang dikelola oleh UPTD PLDDIG, dengan spesifikasi teknis dapat mencakup aplikasi-aplikasi sebagai berikut: a. Aplikasi Sapawarga; b. Aplikasi Portal Jabar; c. Aplikasi Hotline Jabar; d. Aplikasi Jabar Istimewa Digital Academy; e. Aplikasi J-Site. 2. Platform dan Kompatibilitas a. Web Based; b. Mobile Responsive; c. Mobile Application. 3. Hak Akses dan Kepemilikan a. Seluruh kode sumber (source code), modifikasi kode sumber (source code), akun / akses aplikasi, serta dokumentasi menjadi hak milik penuh Pemerintah Daerah Provinsi Jawa Barat; b. Hak Kekayaan Intelektual (HAKI) adalah milik Pemerintah Daerah Provinsi Jawa Barat.",provinsi,0.0,low,,0,1
Pengadaan software pendukung perwajahan publikasi BPS Kabupaten/Kota,True,Barang,E-Purchasing,Badan Pusat Statistik,BADAN PUSAT STATISTIK KAB MOJOKERTO,"Jawa Timur, Mojokerto (Kab.)",62584015,7945000.0,June 2026,APBN - RUPIAH MURNI (A),True,1 Paket,Pengadaan software pendukung perwajahan publikasi BPS Kabupaten/Kota,Spesifikasi ada di KAK,central,0.0,low,,0,1
Penyediaan Tenaga Ahli Software Programmer 3 (RO2),True,Jasa Konsultansi,Penunjukan Langsung,Provinsi DKI Jakarta,BADAN PELAYANAN PENGADAAN BARANG/JASA,"DKI Jakarta, Jakarta Pusat (Kota)",61873862,122100000.0,December 2025,APBD,True,12 OB,"Melakukan pengelolaan, perawatan, deployment, dan perbaikan sistem e-Order/e-Lang /lainnya milik BPPBJ","Berpendidikan minimal S1, memiliki sertifikat keahlian dan/atau sertifikat pelatihan/ kursus bahasa pemrograman PHP, memiliki pengalaman minimal 3 (tiga) tahun dalam bidang teknologi informasi",provinsi,0.0,low,,0,1
Aplikasi Pelaporan Pendapatan Daerah,True,Jasa Konsultansi,E-Purchasing,Kab. Balangan,"BADAN PENGELOLAAN KEUANGAN, PENDAPATAN DAN ASET DAERAH","Kalimantan Selatan, Balangan (Kab.)",62940243,200000000.0,February 2026,APBD,True,1 Paket,Aplikasi Pelaporan Pendapatan Daerah;,Aplikasi Pelaporan Pendapatan Daerah;,kabkota,0.0,low,,0,1
Belanja Pengembangan Website Kegiatan Pengelolaan Aplikasi SIMPORA Tahun 2026,True,Jasa Konsultansi,Pengadaan Langsung,Provinsi Jawa Tengah,Dinas Kepemudaan dan Olahraga,"Jawa Tengah, Semarang (Kota)",62724949,50000000.0,March 2026,APBD,True,1 Paket,Belanja Pengembangan dan Pemeliharan Sistem Informasi,Pengembangan dan Pemeliharaan Website,provinsi,0.0,low,,0,1
Belanja Jasa Konversi Aplikasi/Sistem Informasi 01.0050,True,Jasa Lainnya,E-Purchasing,Kota Mojokerto,DINAS PENDIDIKAN DAN KEBUDAYAAN,"Jawa Timur, Mojokerto (Kota)",61918832,220000000.0,January 2026,APBD,True,1 PAKET,BERLANGGANAN APLIKASI,APLIKASI SPMB,kabkota,0.0,low,,0,1
Lisensi-Lisensi Aplikasi dan Keamanan Informasi,True,Barang,E-Purchasing,Kementerian Pendidikan Dasar dan Menengah,PUSAT DATA DAN TEKNOLOGI INFORMASI,"Banten, Tangerang Selatan (Kota)",61731705,10000000000.0,March 2026,APBN,True,1 Paket,Lisensi-Lisensi Aplikasi dan Keamanan Informasi,sesuai KAK,central,0.0,low,,0,1
"Tenaga Ahli Pembangunan, Pengembangan dan Pengelolaan Aplikasi Cipta Karya, Tata Ruang dan Pertanahan (Tenaga Ahli Pengalaman Minimal 3 Tahun - Junior Mobile Developer)",True,Jasa Konsultansi,Seleksi,Provinsi DKI Jakarta,"PUSAT DATA DAN INFORMASI CIPTA KARYA, TATA RUANG DAN PERTANAHAN","DKI Jakarta, Jakarta Pusat (Kota)",61747702,122100000.0,November 2025,APBD,True,1 x 12 Bulan,"1. Mengembangkan aplikasi mobile (iOS dan Android) dengan fungsionalitas kompleks, menjaga keseimbangan antara performa tinggi, stabilitas sistem, serta pengalaman pengguna yang optimal. 2. Menerapkan arsitektur aplikasi yang baik dan terstruktur, seperti MVVM, MVP, atau Clean Architecture, untuk memastikan aplikasi mudah dikembangkan, diuji, dan dipelihara dalam jangka panjang. 3. Melakukan pengujian dan optimasi performa aplikasi, termasuk peningkatan kecepatan respons, efisiensi penggunaan memori, daya tahan baterai, serta perbaikan bug dan crash untuk menjaga kualitas sistem. 4. Mengintegrasikan aplikasi dengan backend dan layanan eksternal melalui API, memastikan sinkronisasi data berjalan lancar serta komunikasi antar sistem berlangsung aman dan andal. 5. Menulis kode yang efisien, bersih, dan terdokumentasi dengan baik, bekerja sama dengan tim pengembang lainnya untuk memastikan aplikasi memenuhi standar teknis, kebutuhan bisnis, serta arahan pimpinan atau atasan.","1.D4/ S1 Teknik Komputer / Teknik Informatika / Sistem Informasi / Geografi / Teknik Elektro / Teknik Geomatika / Teknik Geografi atau Program Studi Sejenis; 2.Memiliki pengalaman 3 Tahun dalam bidang IT atau pengalaman sejenis; 3.Memiliki NIB dengan KBLI 62019. 4.Mampu mencari akar masalah secara sistematis (troubleshooting dengan pendekatan root-cause analysis) dan menganalisis alur kerja bisnis proses institusi. 5.Menguasai bahasa pemrograman PHP (minimal versi 5), HTML, JavaScript, Java, jQuery, CSS, serta konsep arsitektur MVC/HMVC dan framework terkait. 6.Menguasai database (PostgreSQL, MySQL, Oracle) serta pengalaman mengelola dan mengoptimalkan web server (Apache, Nginx). 7.Berpengalaman dalam integrasi dan pengembangan API Web Service dan Map Service (JSON, GeoJSON, REST, dll.). 8. Mampu menjelaskan aspek teknis secara sistematis dan memberikan rekomendasi konkret/preskriptif berdasarkan hasil analisis dan evaluasi.",provinsi,0.0,low,,0,1
Belanja Pemeliharaan Aset Tidak Berwujud-Software Lisensi Microsoft Office - SEKRETARIAT,True,Jasa Lainnya,E-Purchasing,Kota Malang,Dinas Kependudukan dan Pencatatan Sipil,"Jawa Timur, Malang (Kota)",62219976,3805200.0,January 2026,APBD,True,1 Paket,Belanja Pemeliharaan Aset Tidak Berwujud Sistem Aplikasi Microsoft Office 2019 Professional Plus (2 Paket),Belanja Pemeliharaan Aset Tidak Berwujud Sistem Aplikasi Microsoft Office 2019 Professional Plus (2 Paket),kabkota,0.0,low,,0,1
Belanja Jasa Tenaga Informasi dan Teknologi Pengelola Aplikasi Sipenta BLK Kota Tangerang,True,Jasa Konsultansi,Pengadaan Langsung,Kota Tangerang,DINAS KETENAGAKERJAAN,"Banten, Tangerang (Kota)",63109366,67737600.0,January 2026,APBD,True,1 Orang x 12 Bulan,IT Support Tingkat I,Spesifikasi : Tipe : Tarif Konsultan; Deskripsi : Tarif Tenaga S..,kabkota,0.0,low,,0,1
Belanja Pemeliharaan Aset Tidak Berwujud-Software,True,Jasa Lainnya,E-Purchasing,Kab. Demak,PUSKESMAS BONANG II,"Jawa Tengah, Demak (Kab.)",63070116,8000000.0,January 2026,BLUD,True,1 Tahun,Software Aplikasi Apik BLUD Puskesmas Bonang II,Aplikasi APIK BLUD Puskesmas,kabkota,0.0,low,,0,1
Paket Pekerjaan 2 Pemeliharaan Aplikasi Berupa Pengadaan Tenaga Terampil Data Scientist TA 2026,True,Jasa Lainnya,Pengadaan Langsung,Kementerian Keuangan,KANTOR PUSAT DIREKTORAT JENDERAL BEA DAN CUKAI,"DKI Jakarta, Jakarta Timur (Kota)",62382146,52500000.0,December 2025,APBN,True,1 Paket,Sesuai KAK / Kajian,Sesuai KAK / Kajian,central,0.0,low,,0,1
Petugas Konversi Aplikasi/ Sistem Informasi - IT Support Intermediate Kominfotik PJLP Pelayanan Informasi Publik,True,Jasa Lainnya,Pengadaan Langsung,Provinsi DKI Jakarta,"DINAS KOMUNIKASI, INFORMATIKA DAN STATISTIK","DKI Jakarta, Jakarta Pusat (Kota)",61747178,281841300.0,December 2025,APBD,True,2 Orang x 13 Bulan,Uraian Pekerjaan sesuai dengan KAK,"Petugas Konversi Aplikasi/Sistem Informasi - IT Support Intermediate Kominfotik (PJLP Dinas Komunikasi, Informatika dan Statistik) Spesifikasi:Pendidikan minimal Diploma Tiga, jurusan yang relevan, pengalaman minimal satu tahun",provinsi,0.0,low,,0,1
Belanja Jasa Konversi Aplikasi/Sistem Informasi,True,Jasa Lainnya,Pengadaan Langsung,Kab. Blora,RUMAH SAKIT UMUM DR. R SOETIJONO BLORA,"Jawa Tengah, Blora (Kab.)",62766047,120000000.0,January 2026,BLUD,True,1 Tahun,Belanja Jasa Konversi Aplikasi/Sistem Informasi,"Belanja Jasa Pendampingan E-BLUD SIPD Kemendagri, Belanja Pemeliharaan Software Aplikasi SIPBLUD",kabkota,0.0,low,,0,1
Belanja Jasa Konversi Aplikasi/Sistem Informasi - Pengembangan dan Pemeliharan Sistem Informasi Website,True,Jasa Konsultansi,Pengadaan Langsung,Provinsi Jawa Tengah,DINAS PERUMAHAN RAKYAT DAN KAWASAN PERMUKIMAN,"Jawa Tengah, Semarang (Kota)",62770145,50000000.0,January 2026,APBD,True,1 Paket,Jasa Konversi Aplikasi/Sistem Informasi - Pengembangan dan Pemeliharan Sistem Informasi Website,Jasa Konversi Aplikasi/Sistem Informasi - Pengembangan dan Pemeliharan Sistem Informasi Website,provinsi,0.0,low,,0,1
Penyediaan Jasa Pelayanan Umum Kantor - Pengembangan Aplikasi Pelayanan Kerumahtanggaan (M.30.01.02.09),True,Jasa Konsultansi,Pengadaan Langsung,Provinsi Jawa Tengah,BIRO UMUM,"Jawa Tengah, Semarang (Kota)",62718382,25500000.0,January 2026,APBD,True,1 Paket,Penyediaan Jasa Pelayanan Umum Kantor - Pengembangan Aplikasi Pelayanan Kerumahtanggaan (M.30.01.02.09),Pengadaan Barang/Jasa,provinsi,0.0,low,,0,1
Pembayaran zoom meeting dan aplikasi [ke - 8],True,Barang,Dikecualikan,Kementerian Pendidikan Dasar dan Menengah,BPMP PROVINSI SUMATERA SELATAN,"Sumatera Selatan, Ogan Ilir (Kab.)",61757286,3500000.0,July 2026,APBN,True,1 Paket,Pembayaran zoom meeting dan aplikasi [ke - 8],Pembayaran zoom meeting dan aplikasi [ke - 8],central,0.0,low,,0,1
Pembayaran zoom meeting dan aplikasi [ke - 6],True,Barang,Dikecualikan,Kementerian Pendidikan Dasar dan Menengah,BPMP PROVINSI SUMATERA SELATAN,"Sumatera Selatan, Ogan Ilir (Kab.)",61757284,3500000.0,May 2026,APBN,True,1 Paket,Pembayaran zoom meeting dan aplikasi [ke - 6],Pembayaran zoom meeting dan aplikasi [ke - 6],central,0.0,low,,0,1
Biaya Lisensi Aplikasi Kontrol Panel Server [ke - 1] dalam rangka Penyelenggaraan Ketatausahaan,True,Jasa Lainnya,Pengadaan Langsung,Kementerian Pendidikan Dasar dan Menengah,SEKRETARIAT BADAN STANDAR KURIKULUM DAN ASESMEN PENDIDIKAN,"DKI Jakarta, Jakarta Pusat (Kota)",61760828,3000000.0,January 2026,APBN,True,1 PAKET,Biaya Lisensi Aplikasi Kontrol Panel Server [ke - 1] dalam rangka Penyelenggaraan Ketatausahaan,Biaya Lisensi Aplikasi Kontrol Panel Server [ke - 1] dalam rangka Penyelenggaraan Ketatausahaan,central,0.0,low,,0,1
Pembayaran zoom meeting dan aplikasi [ke - 12],True,Barang,Dikecualikan,Kementerian Pendidikan Dasar dan Menengah,BPMP PROVINSI SUMATERA SELATAN,"Sumatera Selatan, Ogan Ilir (Kab.)",61757290,3500000.0,November 2026,APBN,True,1 Paket,Pembayaran zoom meeting dan aplikasi [ke - 12],Pembayaran zoom meeting dan aplikasi [ke - 12],central,0.0,low,,0,1
Pembayaran zoom meeting dan aplikasi [ke - 2],True,Barang,Dikecualikan,Kementerian Pendidikan Dasar dan Menengah,BPMP PROVINSI SUMATERA SELATAN,"Sumatera Selatan, Ogan Ilir (Kab.)",61757280,3500000.0,January 2026,APBN,True,1 Paket,Pembayaran zoom meeting dan aplikasi [ke - 2],Pembayaran zoom meeting dan aplikasi [ke - 2],central,0.0,low,,0,1
Pembayaran zoom meeting dan aplikasi [ke - 7],True,Barang,Dikecualikan,Kementerian Pendidikan Dasar dan Menengah,BPMP PROVINSI SUMATERA SELATAN,"Sumatera Selatan, Ogan Ilir (Kab.)",61757285,3500000.0,June 2026,APBN,True,1 Paket,Pembayaran zoom meeting dan aplikasi [ke - 7],Pembayaran zoom meeting dan aplikasi [ke - 7],central,0.0,low,,0,1
Pembelian Software Anti Plagiarism dalam rangka Pengembangan Sistem Informasi Perbukuan,True,Barang,Pengadaan Langsung,Kementerian Pendidikan Dasar dan Menengah,PUSAT PERBUKUAN,"DKI Jakarta, Jakarta Pusat (Kota)",61756434,148500000.0,January 2026,APBN,True,1 Paket,Software Anti Plagiarism,Software Anti Plagiarism,central,0.0,low,,0,1
Pembayaran zoom meeting dan aplikasi [ke - 1],True,Barang,Dikecualikan,Kementerian Pendidikan Dasar dan Menengah,BPMP PROVINSI SUMATERA SELATAN,"Sumatera Selatan, Ogan Ilir (Kab.)",61757279,3500000.0,January 2026,APBN,True,1 Paket,Pembayaran zoom meeting dan aplikasi [ke - 1],Pembayaran zoom meeting dan aplikasi [ke - 1],central,0.0,low,,0,1
Petugas Konversi Aplikasi/Sistem Informasi - IT Support Intermediate Kominfotik (Pengelolaan Opini dan Aspirasi Publik),True,Jasa Lainnya,Pengadaan Langsung,Provinsi DKI Jakarta,"DINAS KOMUNIKASI, INFORMATIKA DAN STATISTIK","DKI Jakarta, Jakarta Pusat (Kota)",61749712,281841300.0,December 2025,APBD,True,2 orang x 13 bulan,Uraian Pekerjaan Sesuai dengan KAK,Pendidikan Minimal D-3 Jurusan IT dan Pengalaman Kerja 3 tahun di bidang IT,provinsi,0.0,low,,0,1
Pembayaran zoom meeting dan aplikasi [ke - 10],True,Barang,Dikecualikan,Kementerian Pendidikan Dasar dan Menengah,BPMP PROVINSI SUMATERA SELATAN,"Sumatera Selatan, Ogan Ilir (Kab.)",61757288,3500000.0,September 2026,APBN,True,1 Paket,Pembayaran zoom meeting dan aplikasi [ke - 10],Pembayaran zoom meeting dan aplikasi [ke - 10],central,0.0,low,,0,1
Belanja Sewa Aset Tidak Berwujud-Software,True,Jasa Lainnya,E-Purchasing,Provinsi Kalimantan Selatan,DINAS KOMUNIKASI DAN INFORMATIKA,"Kalimantan Selatan, Banjar Baru (Kota)",62797459,1000000.0,February 2026,APBD,True,1 Paket,Beban Sewa Aset Tidak Berwujud-Software;,Canva;,provinsi,0.0,low,,0,1
Belanja Sewa Aset Tidak Berwujud-Software - Penyediaan Jasa Pelayanan Umum Kantor,True,Jasa Lainnya,E-Purchasing,Provinsi Sulawesi Utara,INSPEKTORAT,"Sulawesi Utara, Manado (Kota)",62044616,221999992.0,January 2026,APBD,True,1 TA,Belanja Sewa Aset Tidak Berwujud-Software,Belanja Sewa Aset Tidak Berwujud-Software,provinsi,0.0,low,,0,1
Beban Jasa Konversi Aplikasi/Sistem Informasi,True,Jasa Lainnya,E-Purchasing,Kab. Kendal,DINAS PERHUBUNGAN,"Jawa Tengah, Kendal (Kab.)",62185850,35000000.0,January 2026,APBD,True,1 Paket,Beban Jasa Konversi Aplikasi/Sistem Informasi;,Pemeliharaan Aplikasi Pengujian Kendaraan Bermotor;,kabkota,0.0,low,,0,1
Belanja internet/ langganan aplikasi,True,Jasa Lainnya,Dikecualikan,Provinsi Jawa Tengah,INSPEKTORAT,"Jawa Tengah, Semarang (Kota)",62680600,5000000.0,January 2026,APBD,True,1 Paket,Belanja internet/ langganan aplikasi,"internet, aplikasi teknologi informasi",provinsi,0.0,low,,0,1
Belanja Kawat/Faksimili/Internet/TV Berlangganan Sewa Cloud Software Pengaduan - SEKRETARIAT,True,Jasa Lainnya,E-Purchasing,Kota Malang,Dinas Kependudukan dan Pencatatan Sipil,"Jawa Timur, Malang (Kota)",62210251,30000000.0,January 2026,APBD,True,1 Paket,Belanja Sewa Cloud Software Pengaduan Langganan Layanan Online Lainnya (15 Paket),Belanja Sewa Cloud Software Pengaduan Langganan Layanan Online Lainnya (15 Paket),kabkota,0.0,low,,0,1
"Belanja Makanan dan Minuman Rapat PPID, Website dan aplikasi",True,Barang,E-Purchasing,Kota Bekasi,Dinas Pemberdayaan Perempuan Dan Perlindungan Anak,"Jawa Barat, Bekasi (Kota)",62833856,7030000.0,January 2026,APBD,True,1 Paket,"Makanan dan Minuman Rapat PPID, dan rapat pengembangan Website dan aplikasi","Makanan dan Minuman Rapat PPID 75 box, dan rapat pengembangan Website dan aplikasi makan 40 box dan snack 60 box",kabkota,0.0,low,,0,1
Software  Pilot Virtual Training (PVT)/Advance Flight Training Simulation (AFTS) Pesawat T-50i Skadron Udara 15 TA 2026,True,Barang,Dikecualikan,Kementerian Pertahanan,MABESAU TNI AU,"DKI Jakarta, Jakarta Timur (Kota)",62066558,48733800000.0,January 2026,APBN - RUPIAH MURNI (A),True,"( 1, Paket, @ 48733800000 )","1. Software Pilot Virtual Training (PVT)/Advance Flight Training Simulation (AFTS) Pesawat T-50i Skadron Udara 15 TA 2026 ( 1, Paket, @ 48733800000 );",Software Pilot Virtual Training (PVT)/Advance Flight Training Simulation (AFTS) Pesawat T-50i Skadron Udara 15 TA 2026,central,0.0,low,,0,1
Belanja Jasa Konsultansi Pengembangan Aplikasi PAKBEJO Sub Kegiatan Pelaporan Pelaksanaan Pembangunan Daerah,True,Jasa Konsultansi,Pengadaan Langsung,Provinsi Jawa Tengah,BIRO ADMINISTRASI PEMBANGUNAN DAERAH,"Jawa Tengah, Semarang (Kota)",63222580,35000000.0,February 2026,APBD,True,1 Paket,Pengembangan aplikasi PAKBEJO,Pengembangan aplikasi PAKBEJO,provinsi,0.0,low,,0,1
Pembayaran zoom meeting dan aplikasi [ke - 9],True,Barang,Dikecualikan,Kementerian Pendidikan Dasar dan Menengah,BPMP PROVINSI SUMATERA SELATAN,"Sumatera Selatan, Ogan Ilir (Kab.)",61757287,3500000.0,July 2026,APBN,True,1 Paket,Pembayaran zoom meeting dan aplikasi [ke - 9],Pembayaran zoom meeting dan aplikasi [ke - 9],central,0.0,low,,0,1
Belanja Jasa Konsultan Pengembangan Aplikasi SATE pada Kegiatan Penyusunan Sistem dan Prosedur Akuntansi dan Pelaporan Keuangan Pemerintah Daerah,True,Jasa Konsultansi,Pengadaan Langsung,Kota Bekasi,Badan Pengelolaan Keuangan Dan Aset Daerah,"Jawa Barat, Bekasi (Kota)",62589578,98000000.0,January 2026,APBD,True,1,Belanja Jasa Konsultan Pengembangan Aplikasi SATE,Belanja Jasa Konsultan Pengembangan Aplikasi SATE,kabkota,0.0,low,,0,1
Pemeliharaan Aplikasi Mobil Layanan Pajak,True,Jasa Lainnya,E-Purchasing,Kab. Bantul,"Badan Pengelolaan Keuangan, Pendapatan dan Aset Daerah","DI Yogyakarta, Bantul (Kab.)",62636639,30000000.0,March 2026,APBD,True,1 Tahun,Pemeliharaan dan Pengembangan Aplikasi;,Tingkat kerumitan rendah;,kabkota,0.0,low,,0,1
PENGADAAN KEBUTUHAN ATK & REPRODUKSI KEGIATAN PENYUSUNAN LAKIP APLIKASI RS DR. SUYOTO KEMHAN TA. 2026,True,Barang,Pengadaan Langsung,Kementerian Pertahanan,RS dr SUYOTO KEMHAN,"DKI Jakarta, Jakarta Selatan (Kota)",62939679,12703000.0,January 2026,APBN - RUPIAH MURNI (A),True,1 TAHUN,Pengadaan ATK dan reproduksi untuk kegiatan penyusunan LAKIP aplikasi RS dr. Suyoto Kemhan TA 2026 guna mendukung kelancaran proses pelaporan kinerja sesuai ketentuan yang berlaku.,"Penyediaan ATK dan jasa reproduksi sesuai kebutuhan kegiatan penyusunan LAKIP aplikasi, standar mutu, dan peraturan perundang-undangan yang berlaku.",central,0.0,low,,0,1
Belanja Pemeliharaan Aset Tidak Berwujud-Software (Belanja Pemeliharaan Software/Aplikasi),True,Barang,Pengadaan Langsung,Kab. Karangasem,Bagian Umum,"Bali, Karang Asem (Kab.)",61951015,6000000.0,January 2026,APBD,True,1 Tahun,Belanja Pemeliharaan Aset Tidak Berwujud-Software (Belanja Pemeliharaan Software/Aplikasi),-,kabkota,0.0,low,,0,1
"Sewa Aplikasi Website Translator Bahasa Isyarat (Belanja Sewa Aset Tidak Berwujud-Software Sarana Teknis Kegiatan Pengelolaan PPID Provinsi, Portal Resmi Pemprov, dan Klarifikasi Isu Disinformasi )",True,Jasa Lainnya,E-Purchasing,Provinsi DKI Jakarta,"DINAS KOMUNIKASI, INFORMATIKA DAN STATISTIK","DKI Jakarta, Jakarta Pusat (Kota)",61748582,155180592.0,May 2026,APBD,True,1 Unit Per Tahun,"Belanja Sewa Aset Tidak Berwujud-Software Sarana Teknis Kegiatan Pengelolaan PPID Provinsi, Portal Resmi Pemprov, dan Klarifikasi Isu Disinformasi",Aplikasi Website Translator Bahasa Isyarat. Layanan 1 tahun; akses bahasa isyarat lebih dari 1500 kata; penambahan kosa kata bahasa isyarat setiap bulan; dan akses Integrasi API.,provinsi,0.0,low,,0,1
Pembayaran zoom meeting dan aplikasi [ke - 3],True,Barang,Dikecualikan,Kementerian Pendidikan Dasar dan Menengah,BPMP PROVINSI SUMATERA SELATAN,"Sumatera Selatan, Ogan Ilir (Kab.)",61757281,3500000.0,February 2026,APBN,True,1 Paket,Pembayaran zoom meeting dan aplikasi [ke - 3],Pembayaran zoom meeting dan aplikasi [ke - 3],central,0.0,low,,0,1
